ville,date,avg_score
Antananarivo,2025-07-02,1.33
Antananarivo,2025-07-03,1.38
Antananarivo,2025-07-04,1.88
Antananarivo,2025-07-05,1.88
Antananarivo,2025-07-06,2.0
Antananarivo,2025-07-07,2.2
Mahajanga,2025-07-02,1.67
Mahajanga,2025-07-03,1.75
Mahajanga,2025-07-04,1.88
Mahajanga,2025-07-05,1.88
Mahajanga,2025-07-06,2.12
Mahajanga,2025-07-07,2.2
Paris,2025-06-29,2.17
Paris,2025-06-30,2.38
Paris,2025-07-01,2.38
Paris,2025-07-02,2.25
Paris,2025-07-03,2.5
Paris,2025-07-04,2.25
Paris,2025-07-05,2.38
Paris,2025-07-06,1.75
Paris,2025-07-07,1.4
Quebec,2025-07-02,2.33
Quebec,2025-07-03,1.75
Quebec,2025-07-04,1.88
Quebec,2025-07-05,2.25
Quebec,2025-07-06,1.88
Quebec,2025-07-07,1.2
Rome,2025-06-29,2.67
Rome,2025-06-30,2.5
Rome,2025-07-01,2.12
Rome,2025-07-02,1.75
Rome,2025-07-03,2.38
Rome,2025-07-04,2.12
Rome,2025-07-05,2.5
Rome,2025-07-06,2.38
Rome,2025-07-07,2.4
Tokyo,2025-06-29,1.83
Tokyo,2025-06-30,2.12
Tokyo,2025-07-01,1.88
Tokyo,2025-07-02,2.38
Tokyo,2025-07-03,1.88
Tokyo,2025-07-04,2.0
Tokyo,2025-07-05,2.0
Tokyo,2025-07-06,2.0
Tokyo,2025-07-07,1.6
